"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","site","closure_id","n_observations","X","day_of_year","time_observations_started","duration_minutes","effort_distance_km","number_observers","summer_nbr_TCB_mean_2400","spring_nbr_TCG_mean_75","fall_nbr_B2_stdDev_300","slope_mean_300","summer_b5_B4_stdDev_1200","species_observed_syn","observation_date","formatted_date","latitude","longitude","locality_id","observer_id","checklist_id","as_date","occupied_prob","occupied","site_area","site_max_dist"
"11",11,11,11,11,11,11,11,"L1418213_2017",2017,1,28891,-1.488293,1.232499,-0.4976031,-0.2630949,-0.4006648,0.2232252,-1.679741,4.766752,-0.8325648,0.484866,1,"5/19/2017","2017-05-19",44.04468,-123.0128,"L1418213","obs269672","S36995756","2017-05-19",0.977457338136028,1,0,0
"12",12,12,12,12,12,12,12,"L1424806_2017",2017,1,28544,-1.66424,1.20062,1.682599,-0.2630949,0.6323905,0.1332146,0.4665394,0.04780104,-0.1488258,0.2227942,0,"5/16/2017","2017-05-16",44.0495,-123.0303,"L1424806","obs301718","S36923648","2017-05-16",0.401207760438155,0,0,0
"13",13,13,13,13,13,13,13,"L1444913_2017",2017,1,35609,1.854699,-1.278844,4.86206,5.364387,-0.4006648,1.611018,0.3598481,-0.4582168,-0.9495595,-0.6368089,1,"7/15/2017","2017-07-15",44.42451,-123.3053,"L1444913","obs282983","S38148805","2017-07-15",0.451623347635464,0,0,0
"14",14,14,14,14,14,14,14,"L1483678_2017",2017,1,30722,-0.6672074,1.643382,-0.1342361,-0.2630949,-0.4006648,-0.03749617,1.225315,0.1755033,-0.8415794,0.2378207,0,"6/2/2017","2017-06-02",43.79291,-123.0287,"L1483678","obs465500","S37346061","2017-06-02",0.274794193222644,0,0,0
"15",15,15,15,15,15,15,15,"L1497198_2017",2017,1,30141,-0.9604523,0.1379929,0.9255844,-0.2630949,-0.4006648,-2.025961,-0.8134188,0.7286754,-0.1763407,1.666959,0,"5/28/2017","2017-05-28",43.11327,-124.4354,"L1497198","obs308273","S37249407","2017-05-28",0.174876374133641,1,0,0
"16",16,16,16,16,16,16,16,"L1547189_2017",2017,1,2584,-1.42964416352909,-0.535004488771375,-0.497603086548891,-0.263094913901091,-0.400664773648653,0.428539412417726,0.27034514003733,0.67079256792308,-0.803547040853092,0.116608677691327,1,"5/20/2017","2017-05-20",44.0441994,-123.1433619,"L1547189","obs269672,obs305796","G2436260","2017-05-20",0.495889853886032,1,0,0
"17",17,17,17,17,17,17,17,"L1863161_2017",2017,1,34886,1.385507,-1.030897,-0.1342361,3.496343,-0.4006648,-0.08427508,0.2256469,-0.434422,0.2082858,-0.9365855,1,"7/7/2017","2017-07-07",42.50641,-123.3494,"L1863161","obs350637","S38016650","2017-07-07",0.260893211994551,0,0,0
"18",18,18,18,18,18,18,18,"L1907627_2017",2017,1,28435,-1.722889,-0.7900351,1.22839,-0.2630949,-0.4006648,0.2516823,0.4599862,0.001676366,-0.1839672,-0.915781,0,"5/15/2017","2017-05-15",43.26369,-123.4663,"L1907627","obs349116","S36881820","2017-05-15",0.356875828129982,0,0,0
"19",19,19,19,19,19,19,19,"L1954056_2017",2017,1,28443,-1.722889,0.1698717,-0.4370419,-0.2630949,0.6323905,0.3837205,-0.3744668,-0.6398973,-0.8778843,-0.3326409,0,"5/15/2017","2017-05-15",44.06648,-123.0105,"L1954056","obs375570","S36887026","2017-05-15",0.193195790429588,0,0,0
"20",20,20,20,20,20,20,20,"L2141911_2017",2017,1,3003,0.857665984777069,-0.0532800604894189,-0.558164256699984,-0.263094913901091,1.66544583222376,0.887932118444912,1.58875290947385,-0.383340452175885,-0.748894988314451,-0.0945269187985656,1,"6/28/2017","2017-06-28",44.4209692,-123.3196878,"L2141911","obs190616,obs406695,obs939315","G2508704","2017-06-28",0.352901805911116,0,0,0
"21",21,21,21,21,21,21,21,"39",2017,1,2598,-1.37099518536739,0.630343577312714,-0.527883671624438,-0.263094913901091,0.632390529287552,1.64062433648963,1.48365557972289,-0.346826385152328,-0.807104189663571,-0.795905931679653,1,"5/21/2017","2017-05-21",44.389605,-123.3016634,"L2141980","obs190616,obs406695","G2439083","2017-05-21",0.494854320415261,0,679.741760253906,0.169635612152139
"22",22,22,22,22,22,22,22,"25",2017,1,28665,-1.605591,0.6055489,-0.3764807,-0.2630949,-0.4006648,1.485858,-0.08280218,0.4827597,-0.724471,0.8197662,0,"5/17/2017","2017-05-17",44.18852,-123.1472,"L2263470","obs98760","S36951405","2017-05-17",0.741120573557384,1,0,0.0165313284924274
"23",23,23,23,23,23,23,23,"L2303125_2017",2017,1,32093,0.09522927,0.4390706,-0.0736749,-0.2630949,-0.4006648,0.09296891,-0.1204398,2.239906,-0.6847782,0.858046,0,"6/15/2017","2017-06-15",44.07269,-123.1125,"L2303125","obs98760","S37614749","2017-06-15",0.800838012471036,1,0,0
"24",24,24,24,24,24,24,24,"L2317621_2017",2017,1,34490,1.150911,0.1379929,-0.5278837,-0.2630949,0.6323905,-0.1855202,0.04342091,0.6597107,-0.001655239,-0.3660655,0,"7/3/2017","2017-07-03",42.46899,-123.3417,"L2317621","obs422582","S37958540","2017-07-03",0.466300082646693,0,0,0
"25",25,25,25,25,25,25,25,"70",2017,1,33263,0.6230701,-0.1064114,-0.2250778,0.1105138,-0.4006648,0.7614365,0.7040328,4.234896,-0.8290897,0.5291528,0,"6/24/2017","2017-06-24",44.05405,-123.1554,"L2336929","obs98760","S37777675","2017-06-24",0.976708865753527,1,0,0.0559677387370428
"26",26,26,26,26,26,26,26,"L2344088_2017",2017,1,30461,-0.7845054,1.005805,-0.4370419,-0.2630949,-0.4006648,0.6836549,0.5138958,-0.3316783,-0.9628884,-0.5604365,0,"5/31/2017","2017-05-31",44.04204,-123.2615,"L2344088","obs98760","S37301314","2017-05-31",0.273107893129913,1,0,0
"27",27,27,27,27,27,27,27,"73",2017,1,31921,-0.02206869,1.494614,0.1988504,-0.2630949,-0.4006648,-0.9888628,-0.5993383,0.1179819,-0.8883025,2.395418,0,"6/13/2017","2017-06-13",44.05637,-123.2924,"L2353018","obs98760","S37590653","2017-06-13",0.183746307401109,1,0,0
"28",28,28,28,28,28,28,28,"L2353027_2017",2017,1,31923,-0.02206869,1.618587,0.4713756,-0.2630949,-0.4006648,-0.8390822,-0.6803999,0.02263438,-0.9018822,2.678446,0,"6/13/2017","2017-06-13",44.05447,-123.2897,"L2353027","obs98760","S37590676","2017-06-13",0.200337295954475,0,0,0
"29",29,29,29,29,29,29,29,"L2379270_2017",2017,1,29518,-1.136399,0.7968219,-0.4370419,-0.2630949,-0.4006648,-0.673652,-0.5551738,-0.2989894,-0.7405158,2.411453,0,"5/25/2017","2017-05-25",44.11471,-123.2791,"L2379270","obs98760","S37143883","2017-05-25",0.187270609305771,0,0,0
"30",30,30,30,30,30,30,30,"L2386611_2017",2017,1,29221,-1.312346,1.749644,-0.4067613,-0.2630949,-0.4006648,0.7155714,1.215031,3.602593,-0.8184212,0.5134843,0,"5/22/2017","2017-05-22",44.05403,-123.1479,"L2386611","obs98760","S37082312","2017-05-22",0.95618313038055,1,0,0
"31",31,31,31,31,31,31,31,"L2395967_2017",2017,1,31490,-0.2566646,1.381267,-0.1342361,-0.2630949,-0.4006648,2.689614,-0.0006954549,0.4689543,-0.8741513,-0.1181981,0,"6/9/2017","2017-06-09",44.1802,-123.2045,"L2395967","obs98760","S37500054","2017-06-09",0.870990386993725,1,0,0
"32",32,32,32,32,32,32,32,"L2398940_2017",2017,1,30690,-1.07775,-0.3897787,-0.4370419,-0.2630949,-0.4006648,0.2783942,-1.821442,2.933907,-0.8708577,0.04989766,0,"5/26/2017","2017-05-26",44.04926,-123.0918,"L2398940","obs98760","S37343079","2017-05-26",0.878160360184278,1,0,0
"33",33,33,33,33,33,33,33,"L2402511_2017",2017,1,31185,-0.4326115,1.82757,-0.2553584,-0.2630949,-0.4006648,2.823319,0.3648351,-0.7575015,-0.9530065,-0.3047909,1,"6/6/2017","2017-06-06",44.28038,-123.0288,"L2402511","obs98760","S37442090","2017-06-06",0.684219764509349,0,0,0
"34",34,34,34,34,34,34,34,"24",2017,1,31170,-0.4326115,0.7932798,-0.3764807,-0.2630949,-0.4006648,1.919648,0.6079561,0.8369854,-0.6725413,0.606906,0,"6/6/2017","2017-06-06",44.31726,-123.216,"L2402512","obs98760","S37441506","2017-06-06",0.856343350966576,1,0,0.0785982126944282
"35",35,35,35,35,35,35,35,"L2412465_2017",2017,1,28467,-1.722889,0.6020068,-0.4370419,-0.2630949,-0.4006648,0.5760945,-0.03786839,-0.8553172,-0.963342,-0.3882237,0,"5/15/2017","2017-05-15",44.05296,-123.2559,"L2412465","obs98760","S36894367","2017-05-15",0.178188590117956,0,0,0
"36",36,36,36,36,36,36,36,"L2415101_2017",2017,1,31390,-0.3153136,1.579624,-0.4370419,-0.2630949,-0.4006648,0.5327467,1.146176,-0.12166,-0.7641392,0.6771291,0,"6/8/2017","2017-06-08",44.13312,-123.1262,"L2415101","obs98760","S37481222","2017-06-08",0.367044555428282,0,0,0
"37",37,37,37,37,37,37,37,"L2422241_2017",2017,1,33395,0.6817191,-0.06390633,-0.285639,-0.2630949,-0.4006648,1.435408,1.776517,0.4556801,-0.7119976,1.011951,0,"6/25/2017","2017-06-25",44.19033,-123.1551,"L2422241","obs98760","S37796522","2017-06-25",0.725688055580684,1,0,0
"38",38,38,38,38,38,38,38,"L2484199_2017",2017,1,30925,-1.07775,-0.322479,0.3199727,3.496343,-0.4006648,0.4824939,1.434298,-0.2083994,0.7033154,-0.6023632,1,"5/26/2017","2017-05-26",43.3239,-123.3386,"L2484199","obs203677","S37393596","2017-05-26",0.530561786432014,0,0,0
"39",39,39,39,39,39,39,39,"69",2017,1,29217,-1.312346,1.625671,-0.4067613,-0.2630949,-0.4006648,0.7510956,-1.43156,5.511307,-0.8833388,0.1592379,0,"5/22/2017","2017-05-22",44.05784,-123.1615,"L2507126","obs98760","S37082267","2017-05-22",0.992450163827935,1,0,0.0732095159673249
"40",40,40,40,40,40,40,40,"L2525126_2017",2017,1,30043,-0.9604523,0.7543168,-0.285639,-0.2630949,-0.4006648,0.9832185,1.070845,0.6902287,-0.08265994,-0.5453595,1,"5/28/2017","2017-05-28",44.06439,-123.2322,"L2525126","obs98760","S37219748","2017-05-28",0.713130033919305,1,0,0
"41",41,41,41,41,41,41,41,"L2525140_2017",2017,1,30044,-0.9604523,0.8039061,-0.4370419,-0.2630949,-0.4006648,0.9757624,0.8455213,0.3453573,-0.0404831,-0.5091676,0,"5/28/2017","2017-05-28",44.0651,-123.2297,"L2525140","obs98760","S37219766","2017-05-28",0.650588330896354,1,0,0
"42",42,42,42,42,42,42,42,"L2578240_2017",2017,1,30634,-0.7258564,1.692971,-0.4067613,-0.2630949,-0.4006648,-0.7031517,1.05039,-0.1147282,-0.828191,2.117541,0,"6/1/2017","2017-06-01",44.10677,-123.2697,"L2578240","obs98760","S37333358","2017-06-01",0.183532991790214,0,0,0
"43",43,43,43,43,43,43,43,"L2578245_2017",2017,1,30635,-0.7258564,1.72485,-0.4370419,-0.2630949,-0.4006648,-0.3141645,0.4493033,0.1070628,-0.8312701,0.9060924,0,"6/1/2017","2017-06-01",44.10668,-123.2649,"L2578245","obs98760","S37333367","2017-06-01",0.24269376986177,0,0,0
"44",44,44,44,44,44,44,44,"L2579607_2017",2017,1,30194,-0.9018034,1.207704,-0.3764807,-0.2630949,-0.4006648,2.415092,1.269739,0.8475702,-0.6318376,-0.3393813,1,"5/29/2017","2017-05-29",44.40345,-123.2099,"L2579607","obs98760","S37256410","2017-05-29",0.890403166005842,1,0,0
"45",45,45,45,45,45,45,45,"L2600937_2017",2017,1,28912,-1.488293,1.611503,-0.2250778,-0.2630949,-0.4006648,2.272361,0.574098,-0.7163609,-0.9472341,-0.8651387,0,"5/19/2017","2017-05-19",44.14992,-123.2597,"L2600937","obs98760","S36999624","2017-05-19",0.538995569989703,1,0,0
"46",46,46,46,46,46,46,46,"L2635767_2017",2017,1,28452,-1.722889,0.6161752,0.7741815,-0.2630949,-0.4006648,-0.690795,1.253777,-0.4792959,0.7139933,-0.2040263,1,"5/15/2017","2017-05-15",43.83217,-123.0919,"L2635767","obs465500","S36890278","2017-05-15",0.23409763636762,1,0,0
"47",47,47,47,47,47,47,47,"72",2017,1,31259,-0.3739626,1.494614,-0.3462002,-0.2630949,-0.4006648,0.7076026,0.2690011,4.077527,-0.819642,0.1648428,0,"6/7/2017","2017-06-07",44.05178,-123.1699,"L2637671","obs98760","S37463579","2017-06-07",0.970072237455127,1,0,0.333295795593317
"48",48,48,48,48,48,48,48,"L2645126_2017",2017,1,28666,-1.605591,0.72598,-0.4067613,-0.2630949,-0.4006648,0.7114154,0.5085279,0.07575942,-0.6622365,-0.8280253,0,"5/17/2017","2017-05-17",44.24471,-123.3311,"L2645126","obs98760","S36951412","2017-05-17",0.400858653199659,1,0,0
"49",49,49,49,49,49,49,49,"61",2017,1,28558,-1.66424,0.7755693,-0.1645167,-0.2630949,-0.4006648,-0.4650315,0.7125212,-0.6129279,-0.9352135,1.031546,0,"5/16/2017","2017-05-16",44.07077,-123.2576,"L2646239","obs98760","S36925239","2017-05-16",0.116684858465072,1,0,0.277237207837748
"50",50,50,50,50,50,50,50,"L2665659_2017",2017,1,30277,-0.8431544,1.002263,-0.285639,-0.2630949,-0.4006648,0.3947097,0.4589075,-0.07759403,-0.9168168,0.9569293,0,"5/30/2017","2017-05-30",44.09452,-123.2461,"L2665659","obs98760","S37277811","2017-05-30",0.338001001740772,0,0,0
"51",51,51,51,51,51,51,51,"L2667648_2017",2017,1,32278,0.1538782,1.689429,-0.4673225,-0.2630949,-0.4006648,-0.01235835,0.05954248,-0.2991545,-0.7933565,-0.1176636,0,"6/16/2017","2017-06-16",43.79109,-123.0693,"L2667648","obs465500","S37647326","2017-06-16",0.197785988507159,0,0,0
"52",52,52,52,52,52,52,52,"L2672740_2017",2017,1,28677,-1.605591,1.062479,-0.4370419,-0.2630949,-0.4006648,-0.4795136,1.684009,-0.7372059,0.6488464,-0.02463995,0,"5/17/2017","2017-05-17",44.24234,-123.3846,"L2672740","obs98760","S36951537","2017-05-17",0.223454410609521,0,0,0
"53",53,53,53,53,53,53,53,"26",2017,1,28664,-1.605591,1.20062,0.3502533,-0.2630949,-0.4006648,2.186716,0.5201496,-0.4685019,-0.8991157,-0.6012308,0,"5/17/2017","2017-05-17",44.23383,-123.2501,"L2673080","obs98760","S36951392","2017-05-17",0.598287747753561,1,0,0.115267022797031
"54",54,54,54,54,54,54,54,"72",2017,1,31260,-0.3739626,1.526493,-0.4370419,-0.2630949,-0.4006648,0.6967023,-0.2257822,5.082869,-0.8046416,0.2779913,0,"6/7/2017","2017-06-07",44.05082,-123.1715,"L2675738","obs98760","S37463583","2017-06-07",0.98865695020995,1,0,0.333295795593317
"55",55,55,55,55,55,55,55,"L2677271_2017",2017,1,34010,0.916315,0.8570374,-0.4370419,-0.2630949,-0.4006648,0.2269819,0.159289,2.141,-0.8109846,-0.3910763,1,"6/29/2017","2017-06-29",44.04199,-123.1095,"L2677271","obs98760","S37879954","2017-06-29",0.744756418852514,1,0,0
"56",56,56,56,56,56,56,56,"71",2017,1,31263,-0.3739626,1.604419,-0.4067613,-0.2630949,-0.4006648,0.6869498,0.6548974,2.080807,-0.6821426,0.4543271,1,"6/7/2017","2017-06-07",44.0505,-123.1549,"L2679360","obs98760","S37463592","2017-06-07",0.847861137222077,1,0,0.0223285754034876
"57",57,57,57,57,57,57,57,"4",2017,1,28552,-1.66424,0.5240808,-0.4067613,-0.2630949,-0.4006648,0.02282473,0.8811838,-0.4795882,1.042195,-0.3194155,0,"5/16/2017","2017-05-16",44.02722,-123.1973,"L2683666","obs98760","S36924909","2017-05-16",0.434880976483828,0,0,0.214513086277922
"58",58,58,58,58,58,58,58,"L2683679_2017",2017,1,28555,-1.66424,0.5595017,-0.4067613,-0.2630949,-0.4006648,0.07312966,0.5339827,-0.007327024,0.9166103,-0.2515708,0,"5/16/2017","2017-05-16",44.02868,-123.194,"L2683679","obs98760","S36925078","2017-05-16",0.541493222874265,0,0,0
"59",59,59,59,59,59,59,59,"L2683761_2017",2017,1,30459,-0.7845054,0.8960004,-0.4370419,-0.2630949,-0.4006648,0.7757916,0.3930547,0.3805994,0.3963873,-0.5392168,0,"5/31/2017","2017-05-31",44.0416,-123.2256,"L2683761","obs98760","S37301278","2017-05-31",0.686767164252865,0,0,0
"60",60,60,60,60,60,60,60,"22",2017,1,30178,-0.9018034,0.3965655,0.3805339,3.496343,-0.4006648,1.573548,0.3044348,-0.0859842,-0.9170944,-0.7467618,1,"5/29/2017","2017-05-29",44.39129,-123.2955,"L2693582","obs98760","S37255451","2017-05-29",0.530985619362003,1,0,0.111263022245406
"61",61,61,61,61,61,61,61,"L2693728_2017",2017,1,30191,-0.9018034,0.5595017,-0.4067613,-0.2630949,-0.4006648,1.647455,0.9070353,0.0418431,-0.7161483,-0.7946821,0,"5/29/2017","2017-05-29",44.38971,-123.3035,"L2693728","obs98760","S37256324","2017-05-29",0.60752843051447,1,0,0
"62",62,62,62,62,62,62,62,"L2693771_2017",2017,1,30192,-0.9018034,0.6232594,-0.4976031,-0.2630949,-0.4006648,1.651682,0.3252479,-0.7222451,-0.8380058,-0.7993096,1,"5/29/2017","2017-05-29",44.38962,-123.3103,"L2693771","obs98760","S37256342","2017-05-29",0.412069740997899,1,0,0
"63",63,63,63,63,63,63,63,"L2701726_2017",2017,1,29216,-1.312346,1.576082,-0.3462002,-0.2630949,-0.4006648,0.6932036,0.6277134,3.048473,-0.8115866,0.5348845,1,"5/22/2017","2017-05-22",44.05025,-123.1579,"L2701726","obs98760","S37082254","2017-05-22",0.928425816344823,1,0,0
"64",64,64,64,64,64,64,64,"L2701732_2017",2017,1,29215,-1.312346,1.554829,-0.4370419,-0.2630949,-0.4006648,0.6891298,-0.126357,2.8785,-0.8451099,0.2979444,0,"5/22/2017","2017-05-22",44.05025,-123.1614,"L2701732","obs98760","S37082244","2017-05-22",0.912610303118557,0,0,0
"65",65,65,65,65,65,65,65,"4",2017,1,28556,-1.66424,0.5949227,-0.4370419,-0.2630949,-0.4006648,0.04983575,0.579721,-0.2651662,0.9720074,-0.2824822,0,"5/16/2017","2017-05-16",44.02817,-123.1975,"L2722459","obs98760","S36925088","2017-05-16",0.483087513602532,1,0,0.214513086277922
"66",66,66,66,66,66,66,66,"L2731001_2017",2017,1,31389,-0.3153136,1.483988,-0.3764807,-0.2630949,-0.4006648,0.3070057,0.5689795,-0.02099369,-0.6868981,0.5971366,1,"6/8/2017","2017-06-08",44.11901,-123.1156,"L2731001","obs98760","S37481182","2017-06-08",0.351148010270921,1,0,0
"67",67,67,67,67,67,67,67,"L2737061_2017",2017,1,30468,-0.7845054,1.246667,-0.4370419,-0.2630949,-0.4006648,0.8996407,0.2177473,0.8457585,-0.9547752,-0.3571577,0,"5/31/2017","2017-05-31",44.04756,-123.2499,"L2737061","obs98760","S37301444","2017-05-31",0.599354258187167,1,0,0
"68",68,68,68,68,68,68,68,"L2737093_2017",2017,1,30471,-0.7845054,1.430856,-0.4067613,-0.2630949,-0.4006648,1.025102,0.2645982,-0.2260099,-0.6349258,-0.4375436,1,"5/31/2017","2017-05-31",44.05234,-123.231,"L2737093","obs98760","S37301475","2017-05-31",0.432065702707194,0,0,0
"69",69,69,69,69,69,69,69,"L2759875_2017",2017,1,33394,0.6817191,-0.1099535,-0.4067613,-0.2630949,-0.4006648,1.269302,1.28792,0.4973991,-0.7491089,0.5442324,0,"6/25/2017","2017-06-25",44.18047,-123.1482,"L2759875","obs98760","S37796503","2017-06-25",0.677040972664428,1,0,0
"70",70,70,70,70,70,70,70,"L2765839_2017",2017,1,30464,-0.7845054,1.087273,-0.4067613,-0.2630949,-0.4006648,0.4175523,1.683178,-0.07501338,-0.8774318,-0.4475641,1,"5/31/2017","2017-05-31",44.04139,-123.271,"L2765839","obs98760","S37301375","2017-05-31",0.280177939525579,0,0,0
"71",71,71,71,71,71,71,71,"L2766122_2017",2017,1,31580,-0.1980156,1.087273,-0.3159196,-0.2630949,-0.4006648,1.73254,0.375459,-0.4249911,-0.8019752,-0.6016345,0,"6/10/2017","2017-06-10",44.09202,-123.2153,"L2766122","obs98760","S37519660","2017-06-10",0.517645946922644,1,0,0
"72",72,72,72,72,72,72,72,"L2782835_2017",2017,1,29426,-1.195048,1.795692,1.22839,-0.2630949,-0.4006648,-0.6775616,1.663224,-0.6721075,-0.3085801,0.00452855,0,"5/24/2017","2017-05-24",44.09242,-123.437,"L2782835","obs98760","S37130166","2017-05-24",0.11207654152934,0,0,0
"73",73,73,73,73,73,73,73,"L2788017_2017",2017,1,29001,-1.429644,1.402519,-0.1645167,3.869952,-0.4006648,-0.0642143,1.69942,0.7644113,0.08717375,-0.5966246,1,"5/20/2017","2017-05-20",43.9908,-123.3322,"L2788017","obs98760","S37027210","2017-05-20",0.513194035647713,0,0,0
"74",74,74,74,74,74,74,74,"L2788034_2017",2017,1,28468,-1.722889,0.9455897,-0.3764807,-0.2630949,-0.4006648,-0.04509647,1.992183,-0.06589053,0.08086017,-0.3094426,0,"5/15/2017","2017-05-15",43.98896,-123.2833,"L2788034","obs98760","S36894433","2017-05-15",0.338962915630626,1,0,0
"75",75,75,75,75,75,75,75,"L2799400_2017",2017,1,29143,-1.370995,-0.1807954,-0.2250778,-0.2630949,0.6323905,-1.315724,0.6845108,-1.090865,4.257001,0.5228465,0,"5/21/2017","2017-05-21",44.16217,-124.0738,"L2799400","obs583770","S37066873","2017-05-21",0.593215309756784,1,0,0
"76",76,76,76,76,76,76,76,"L2801445_2017",2017,1,2613,-1.253697229044,-0.573967493923491,-0.406761331322251,-0.263094913901091,0.632390529287552,-0.877145414820664,0.624225313953279,0.0218324356179764,-0.342749620755229,2.29972741661624,0,"5/23/2017","2017-05-23",43.9751619,-124.0745784,"L2801445","obs269672,obs305797","G2448248","2017-05-23",0.244278934767737,1,0,0
"77",77,77,77,77,77,77,77,"L2836942_2017",2017,1,30009,-0.9604523,0.3505184,0.01716686,-0.2630949,0.6323905,-0.4829441,0.2781178,-0.3449157,-0.2764953,1.557941,1,"5/28/2017","2017-05-28",43.16313,-124.362,"L2836942","obs200980","S37215896","2017-05-28",0.233928674059651,0,0,0
"78",78,78,78,78,78,78,78,"L2837417_2017",2017,1,28469,-1.722889,0.995179,-0.285639,-0.2630949,-0.4006648,0.1531324,1.040068,-0.1586694,0.5405238,-0.09880223,0,"5/15/2017","2017-05-15",44.01222,-123.2587,"L2837417","obs98760","S36894460","2017-05-15",0.461081456749362,0,0,0
"79",79,79,79,79,79,79,79,"L2849440_2017",2017,1,29703,-1.605591,-0.6589777,-0.4370419,-0.2630949,0.6323905,-0.7977483,1.605365,0.2126438,0.08332351,0.1580253,0,"5/17/2017","2017-05-17",43.62733,-123.6684,"L2849440","obs515902","S37185442","2017-05-17",0.262992460661906,0,0,0
"80",80,80,80,80,80,80,80,"L2860142_2017",2017,1,29431,-1.195048,0.5913806,0.229131,0.8577313,-0.4006648,-0.8942639,-0.3009398,-0.3545862,-0.631148,2.378716,0,"5/24/2017","2017-05-24",43.8845,-124.114,"L2860142","obs98760","S37130281","2017-05-24",0.158396558616994,0,0,0
"81",81,81,81,81,81,81,81,"L2860248_2017",2017,1,29433,-1.195048,0.8039061,-0.4370419,-0.2630949,-0.4006648,-0.6440205,0.7495732,-0.2269815,0.5569373,2.043041,0,"5/24/2017","2017-05-24",43.98428,-124.0465,"L2860248","obs98760","S37130297","2017-05-24",0.368886554635543,1,0,0
"82",82,82,82,82,82,82,82,"L2875565_2017",2017,1,34354,1.092262,1.207704,-0.4370419,-0.2630949,-0.4006648,-0.5507492,-0.3523266,1.626583,-0.2942571,0.03909654,0,"7/2/2017","2017-07-02",44.05816,-123.4485,"L2875565","obs98760","S37946876","2017-07-02",0.575543185836094,0,0,0
